Date,Open,High,Low,Close,Volumn
4/22/2010,1577.551032,1591.580013,1563.522051,1576.29,1
4/23/2010,1574.430858,1583.638056,1565.22366,1573.88,1
4/26/2010,1571.5007,1575.90972,1567.09168,1574.65,1
4/27/2010,1579.434881,1589.952321,1568.91744,1581.57,1
4/28/2010,1581.28968,1588.541856,1574.037504,1576.56,1
4/29/2010,1576.379175,1581.278198,1571.480152,1580.33,1
4/30/2010,1588.456275,1597.08962,1579.82293,1584.1,1
5/3/2010,1575.279819,1584.924712,1565.634926,1581.13,1
5/4/2010,1584.990992,1592.763666,1577.218318,1586.26,1
5/5/2010,1590.771007,1592.122014,1589.42,1589.42,1
5/6/2010,1600.761925,1607.94739,1593.57646,1596.77,1
5/7/2010,1597.156963,1606.624543,1587.689382,1591.19,1
5/10/2010,1586.866743,1595.202378,1578.531108,1587.74,1
5/11/2010,1591.684272,1600.890264,1582.47828,1587.24,1
5/12/2010,1592.485185,1601.927894,1583.042475,1587.01,1
5/13/2010,1585.919775,1591.55966,1580.27989,1588.7,1
5/14/2010,1594.274367,1604.648562,1583.900172,1596.03,1
5/17/2010,1592.547308,1602.594422,1582.500194,1594.78,1
5/18/2010,1602.398964,1611.115912,1593.682016,1599.44,1
5/19/2010,1594.972985,1600.648476,1589.297493,1598.73,1
5/20/2010,1605.554725,1616.776775,1594.332675,1603.15,1
5/21/2010,1605.491503,1606.61501,1604.367996,1605.01,1
5/24/2010,1602.94107,1615.277548,1590.604592,1602.14,1
5/25/2010,1603.830188,1604.551875,1603.1085,1603.75,1
5/26/2010,1601.08017,1604.041428,1598.118912,1600.68,1
5/27/2010,1598.755015,1608.48116,1589.02887,1594.45,1
5/28/2010,1595.592956,1600.465117,1590.720794,1597.43,1
5/31/2010,1594.554626,1599.02743,1590.081822,1597.43,1
6/1/2010,1597.30095,1603.85316,1590.74874,1598.1,1
6/2/2010,1592.68836,1604.81948,1580.55724,1596.2,1
6/3/2010,1596.4355,1598.6685,1594.2025,1595,1
6/4/2010,1606.262493,1617.420996,1595.10399,1605.54,1
6/7/2010,1605.469144,1605.870571,1605.067716,1605.71,1
6/8/2010,1611.751223,1618.418322,1605.084123,1606.53,1
6/9/2010,1604.004026,1612.594467,1595.413584,1605.69,1
6/10/2010,1595.652938,1600.685535,1590.62034,1597.65,1
6/11/2010,1605.623315,1607.949724,1603.296906,1604.42,1
6/14/2010,1599.766513,1608.498775,1591.03425,1602.25,1
6/15/2010,1604.01162,1607.693483,1600.329757,1600.81,1
6/16/2010,1609.93246,1618.66772,1601.1972,1602.8,1
6/17/2010,1606.738521,1613.173841,1600.303201,1608.83,1
6/18/2010,1610.674245,1622.33007,1599.01842,1607.7,1
6/21/2010,1611.978568,1616.160512,1607.796624,1608.44,1
6/22/2010,1614.28267,1616.701675,1611.863665,1612.67,1
6/23/2010,1614.886958,1617.632815,1612.141101,1615.21,1
6/24/2010,1612.0863,1626.28686,1597.88574,1613.7,1
6/25/2010,1615.050749,1616.907964,1613.193533,1614.97,1
6/28/2010,1617.325864,1626.236304,1608.415424,1620.08,1
6/29/2010,1622.411117,1636.768737,1608.053496,1622.33,1
6/30/2010,1623.372364,1636.27108,1610.473648,1622.48,1
7/1/2010,1622.172458,1633.942035,1610.40288,1623.39,1
7/2/2010,1618.172038,1622.062654,1614.281422,1621.09,1
7/6/2010,1620.96597,1629.010264,1612.921675,1625.11,1
7/7/2010,1619.114776,1626.093719,1612.135833,1623.01,1
7/8/2010,1615.58314,1624.585184,1606.581095,1621.99,1
7/9/2010,1621.833507,1630.50468,1613.162334,1620.78,1
7/12/2010,1624.69536,1631.67039,1617.72033,1622.1,1
7/13/2010,1626.109178,1632.83031,1619.388045,1619.55,1
7/14/2010,1622.035966,1634.543153,1609.528779,1624.31,1
7/15/2010,1628.378577,1642.139064,1614.61809,1628.46,1
7/16/2010,1627.333694,1630.84,1623.827388,1630.84,1
7/19/2010,1634.981292,1642.557816,1627.404768,1629.36,1
7/20/2010,1625.092963,1632.025605,1618.16032,1631.21,1
7/21/2010,1635.742542,1639.910976,1631.574108,1634.68,1
7/22/2010,1632.92335,1636.026525,1629.820175,1633.25,1
7/23/2010,1632.529431,1636.851528,1628.207334,1630.98,1
7/26/2010,1627.958094,1632.93606,1622.980128,1632.12,1
7/27/2010,1627.511841,1635.50183,1619.521852,1630.61,1
7/28/2010,1632.618108,1638.254304,1626.981912,1633.68,1
7/29/2010,1634.920329,1639.987062,1629.853596,1634.43,1
7/30/2010,1636.346441,1648.972824,1623.720058,1639.79,1
8/2/2010,1631.46256,1639.9734,1622.95172,1636.7,1
8/3/2010,1637.230152,1643.629428,1630.830876,1640.84,1
8/4/2010,1642.05284,1647.378062,1636.727617,1638.53,1
8/5/2010,1643.496722,1646.777482,1640.215962,1640.38,1
